drug_1,drug_2,similarity,distance
Drug_100000085,Drug_100003152,0.7262655934422325,0.2737344065577675
Drug_100000085,Drug_10917,0.8487796856604438,0.15122031433955618
Drug_100000085,Drug_21109,0.8753597694525153,0.12464023054748474
Drug_100000085,Drug_3152,0.7553637121629352,0.24463628783706481
Drug_100000119,Drug_100000727,0.741517456588971,0.25848254341102905
Drug_100000119,Drug_100002118,0.6220619933084831,0.3779380066915169
Drug_100000119,Drug_100002802,0.7734354522781656,0.22656454772183443
Drug_100000119,Drug_100003373,0.7945301803496627,0.20546981965033728
Drug_100000119,Drug_100003380,0.7986864971616067,0.20131350283839333
Drug_100000119,Drug_100005556,0.7465351144179931,0.25346488558200686
Drug_100000119,Drug_100005732,0.8085687225628009,0.19143127743719912
Drug_100000119,Drug_100005735,0.7825874795607887,0.21741252043921133
Drug_100000119,Drug_119,0.8875913016942919,0.1124086983057081
Drug_100000119,Drug_2118,0.6169735468385135,0.38302645316148654
Drug_100000119,Drug_2284,0.6153334363807991,0.38466656361920093
Drug_100000119,Drug_2451,0.700947541440718,0.299052458559282
Drug_100000119,Drug_2802,0.8167982507812277,0.1832017492187723
Drug_100000119,Drug_3373,0.7881282865456822,0.21187171345431777
Drug_100000119,Drug_3380,0.7444234536133595,0.2555765463866405
Drug_100000119,Drug_5556,0.7661120899295449,0.23388791007045506
Drug_100000119,Drug_5732,0.7615963297020183,0.2384036702979817
Drug_100000119,Drug_727,0.7479887702328204,0.2520112297671796
Drug_100000119,Drug_969472,0.7569717649803808,0.24302823501961923
Drug_100000143,Drug_100003363,0.6708015298321882,0.3291984701678118
Drug_100000143,Drug_100060843,0.6158104923419854,0.38418950765801463
Drug_100000143,Drug_100104758,0.6367322496107766,0.36326775038922343
Drug_100000143,Drug_100121749,0.6404895183093366,0.35951048169066335
Drug_100000143,Drug_100148121,0.6148958835652997,0.3851041164347003
Drug_100000143,Drug_104758,0.6375593365569213,0.3624406634430787
Drug_100000143,Drug_121749,0.6430914098050219,0.3569085901949781
Drug_100000143,Drug_149436,0.7152066407000448,0.2847933592999552
Drug_100000143,Drug_4764,0.6299544394155765,0.3700455605844235
Drug_100000143,Drug_5582,0.606587792868134,0.393412207131866
Drug_100000143,Drug_6006,0.6169436767086203,0.38305632329137973
Drug_100000146,Drug_444412,0.7798937656845902,0.22010623431540977
Drug_100000146,Drug_4764,0.6029703739079701,0.39702962609202985
Drug_100000146,Drug_5790,0.6087150014865232,0.39128499851347676
Drug_100000158,Drug_100000159,0.6748794643075503,0.3251205356924497
Drug_100000158,Drug_100000160,0.6035993207006173,0.3964006792993827
Drug_100000158,Drug_100000298,0.6818689190920532,0.31813108090794684
Drug_100000158,Drug_100000838,0.6896956762728618,0.31030432372713823
Drug_100000158,Drug_100000951,0.659689681999034,0.340310318000966
Drug_100000158,Drug_100001206,0.6499375982212708,0.35006240177872916
Drug_100000158,Drug_100001978,0.6889612997665244,0.3110387002334756
Drug_100000158,Drug_100002083,0.6437427631040497,0.35625723689595035
Drug_100000158,Drug_100002092,0.7319342782996359,0.26806572170036413
Drug_100000158,Drug_100002141,0.636448306980737,0.36355169301926304
Drug_100000158,Drug_100002159,0.6970381027145145,0.3029618972854855
Drug_100000158,Drug_100002160,0.6021465456580706,0.3978534543419294
Drug_100000158,Drug_100002170,0.6860840692221932,0.3139159307778068
Drug_100000158,Drug_100002215,0.6332519564461762,0.36674804355382384
Drug_100000158,Drug_100002216,0.6685409701320494,0.3314590298679506
Drug_100000158,Drug_100002249,0.6722410816937457,0.32775891830625425
Drug_100000158,Drug_100002344,0.6495364787621349,0.35046352123786506
Drug_100000158,Drug_100002366,0.6394505038618168,0.3605494961381832
Drug_100000158,Drug_100002369,0.7301897988841777,0.2698102011158223
Drug_100000158,Drug_100002435,0.6739407508441161,0.3260592491558839
Drug_100000158,Drug_100002443,0.6699889844383884,0.3300110155616116
Drug_100000158,Drug_100002476,0.6659466566236664,0.33405334337633363
Drug_100000158,Drug_100002477,0.660041489057477,0.33995851094252305
Drug_100000158,Drug_100002540,0.6421674088539073,0.35783259114609267
Drug_100000158,Drug_100002541,0.6512287870348763,0.3487712129651237
Drug_100000158,Drug_100002585,0.6706999093665895,0.3293000906334105
Drug_100000158,Drug_100002764,0.6414856986563111,0.3585143013436889
Drug_100000158,Drug_100002771,0.6192950971863239,0.3807049028136761
Drug_100000158,Drug_100002781,0.6762498680405804,0.3237501319594196
Drug_100000158,Drug_100002803,0.657750207722397,0.342249792277603
Drug_100000158,Drug_100002955,0.6269828437003501,0.37301715629964993
Drug_100000158,Drug_100002995,0.6712180022689198,0.3287819977310802
Drug_100000158,Drug_100003007,0.6491779139545603,0.35082208604543974
Drug_100000158,Drug_100003066,0.7204600659784357,0.2795399340215643
Drug_100000158,Drug_100003151,0.6306994223969224,0.36930057760307755
Drug_100000158,Drug_100003155,0.6394145867609484,0.3605854132390516
Drug_100000158,Drug_100003157,0.693427619078074,0.30657238092192596
Drug_100000158,Drug_100003158,0.6018098581786551,0.39819014182134493
Drug_100000158,Drug_100003168,0.6703561388553334,0.3296438611446666
Drug_100000158,Drug_100003250,0.7046380868679424,0.2953619131320576
Drug_100000158,Drug_100003251,0.6711312088687951,0.32886879113120493
Drug_100000158,Drug_100003325,0.639949292617705,0.36005070738229505
Drug_100000158,Drug_100003340,0.6835300180755302,0.31646998192446985
Drug_100000158,Drug_100003345,0.6883791801801826,0.3116208198198174
Drug_100000158,Drug_100003372,0.725638339857005,0.274361660142995
Drug_100000158,Drug_100003410,0.6931709115905553,0.3068290884094447
Drug_100000158,Drug_100003519,0.6903997572236471,0.3096002427763529
Drug_100000158,Drug_100003696,0.6012690888017632,0.3987309111982368
Drug_100000158,Drug_100003749,0.703226245953846,0.296773754046154
Drug_100000158,Drug_100003779,0.7483020199735646,0.2516979800264354
Drug_100000158,Drug_100003827,0.649375245417183,0.35062475458281706
Drug_100000158,Drug_100003869,0.6923351952773147,0.3076648047226853
Drug_100000158,Drug_100003911,0.7067979630132444,0.2932020369867556
Drug_100000158,Drug_100003915,0.6736047423619194,0.32639525763808064
Drug_100000158,Drug_100003916,0.6757221725770546,0.3242778274229454
Drug_100000158,Drug_100003938,0.660843096978976,0.33915690302102397
Drug_100000158,Drug_100003954,0.6656854867052051,0.3343145132947949
Drug_100000158,Drug_100003964,0.6426153550745306,0.3573846449254694
Drug_100000158,Drug_100004011,0.6674438569778423,0.33255614302215775
Drug_100000158,Drug_100004140,0.6456316078967184,0.35436839210328164
Drug_100000158,Drug_100004163,0.6346692624154423,0.3653307375845577
Drug_100000158,Drug_100004171,0.7364120193487823,0.2635879806512177
Drug_100000158,Drug_100004253,0.7017319891962299,0.2982680108037701
Drug_100000158,Drug_100004422,0.6968212478085261,0.30317875219147394
Drug_100000158,Drug_100004425,0.637270783427803,0.36272921657219703
Drug_100000158,Drug_100004428,0.6866518672189836,0.31334813278101636
Drug_100000158,Drug_100004436,0.7351619484700004,0.2648380515299996
Drug_100000158,Drug_100004585,0.6059686535700811,0.3940313464299189
Drug_100000158,Drug_100004631,0.6167705825869114,0.3832294174130886
Drug_100000158,Drug_100004635,0.6825485002384455,0.3174514997615545
Drug_100000158,Drug_100004639,0.6549211311040861,0.3450788688959139
Drug_100000158,Drug_100004736,0.6366433710806482,0.36335662891935183
Drug_100000158,Drug_100004768,0.6842387940759039,0.31576120592409607
Drug_100000158,Drug_100004828,0.6740740893583703,0.3259259106416297
Drug_100000158,Drug_100004885,0.7221012751874714,0.27789872481252864
Drug_100000158,Drug_100004927,0.6717990093961873,0.3282009906038127
Drug_100000158,Drug_100004976,0.6439297817897459,0.3560702182102541
Drug_100000158,Drug_100005039,0.6182369125806639,0.38176308741933607
Drug_100000158,Drug_100005073,0.6334023984916426,0.3665976015083574
Drug_100000158,Drug_100005078,0.6770501781793805,0.3229498218206195
Drug_100000158,Drug_100005090,0.6176913900976978,0.3823086099023022
Drug_100000158,Drug_100005095,0.6643226598558558,0.3356773401441442
Drug_100000158,Drug_100005152,0.6896010290467048,0.31039897095329516
Drug_100000158,Drug_100005358,0.760010942326925,0.239989057673075
Drug_100000158,Drug_100005401,0.7057967971053632,0.29420320289463675
Drug_100000158,Drug_100005452,0.614728575217006,0.38527142478299403
Drug_100000158,Drug_100005454,0.6293769542179188,0.37062304578208116
Drug_100000158,Drug_100005487,0.6302196468340591,0.36978035316594093
Drug_100000158,Drug_100005524,0.6363025907896569,0.3636974092103431
Drug_100000158,Drug_100005533,0.6412528148294199,0.35874718517058013
Drug_100000158,Drug_100005650,0.7247660802361718,0.27523391976382816
Drug_100000158,Drug_100005656,0.6296974962525053,0.37030250374749474
Drug_100000158,Drug_100005771,0.6733427043809468,0.3266572956190532
Drug_100000158,Drug_100005775,0.7263693706168466,0.2736306293831534
Drug_100000158,Drug_100008230,0.7358173308319429,0.2641826691680571
