Community_5,Community_58,Community_81,Community_109,Community_187
Drug_100000158,Drug_100001084,Drug_100002311,Drug_100002487,Drug_100001071
Drug_100000160,Drug_100001125,Drug_100003222,Drug_100003648,Drug_100003339
Drug_100000191,Drug_100004112,Drug_100003937,Drug_100004419,Drug_100004036
Drug_100000214,Drug_100005546,Drug_100005038,Drug_100005523,Drug_100064929
Drug_100000298,Drug_100005578,Drug_100005525,Drug_100022258,Drug_1032
Drug_100000681,Drug_102723601,Drug_100062956,Drug_105361917,Drug_3339
Drug_100000750,Drug_126941,Drug_100063001,Drug_5284569,Drug_4036
Drug_100000774,Drug_2723601,Drug_100072022,Drug_5284570,Drug_445354
Drug_100000838,Drug_44257,Drug_100128549,Drug_5311304,Drug_5282379
Drug_100000951,Drug_5546,Drug_100443379,Drug_5361092,Drug_64929
Drug_100001134,Drug_5578,Drug_105464096,Drug_5361917,
Drug_100001206,,Drug_5362118,Drug_5488547,
Drug_100001978,,Drug_5362123,Drug_5523,
Drug_100002083,,Drug_5362129,,
Drug_100002092,,Drug_5388961,,
Drug_100002159,,Drug_5462501,,
Drug_100002160,,Drug_5463984,,
Drug_100002170,,Drug_5464097,,
Drug_100002215,,Drug_62956,,
Drug_100002216,,Drug_72022,,
Drug_100002249,,,,
Drug_100002344,,,,
Drug_100002369,,,,
Drug_100002435,,,,
Drug_100002443,,,,
Drug_100002476,,,,
Drug_100002477,,,,
Drug_100002520,,,,
Drug_100002540,,,,
Drug_100002541,,,,
Drug_100002585,,,,
Drug_100002726,,,,
Drug_100002764,,,,
Drug_100002771,,,,
Drug_100002781,,,,
Drug_100002801,,,,
Drug_100002803,,,,
Drug_100002818,,,,
Drug_100002913,,,,
Drug_100002914,,,,
Drug_100002978,,,,
Drug_100002995,,,,
Drug_100003007,,,,
Drug_100003008,,,,
Drug_100003066,,,,
Drug_100003151,,,,
Drug_100003155,,,,
Drug_100003157,,,,
Drug_100003158,,,,
Drug_100003168,,,,
Drug_100003250,,,,
Drug_100003251,,,,
Drug_100003325,,,,
Drug_100003340,,,,
Drug_100003345,,,,
Drug_100003367,,,,
Drug_100003372,,,,
Drug_100003386,,,,
Drug_100003410,,,,
Drug_100003519,,,,
Drug_100003559,,,,
Drug_100003696,,,,
Drug_100003715,,,,
Drug_100003749,,,,
Drug_100003779,,,,
Drug_100003827,,,,
Drug_100003869,,,,
Drug_100003911,,,,
Drug_100003915,,,,
Drug_100003916,,,,
Drug_100003918,,,,
Drug_100003938,,,,
Drug_100003954,,,,
Drug_100003961,,,,
Drug_100003964,,,,
Drug_100004011,,,,
Drug_100004095,,,,
Drug_100004140,,,,
Drug_100004163,,,,
Drug_100004168,,,,
Drug_100004171,,,,
Drug_100004184,,,,
Drug_100004205,,,,
Drug_100004253,,,,
Drug_100004422,,,,
Drug_100004425,,,,
Drug_100004428,,,,
Drug_100004436,,,,
Drug_100004449,,,,
Drug_100004543,,,,
Drug_100004585,,,,
Drug_100004631,,,,
Drug_100004635,,,,
Drug_100004639,,,,
Drug_100004736,,,,
Drug_100004745,,,,
Drug_100004747,,,,
Drug_100004748,,,,
Drug_100004768,,,,
Drug_100004828,,,,
Drug_100004885,,,,
Drug_100004893,,,,
Drug_100004917,,,,
Drug_100004927,,,,
Drug_100004946,,,,
Drug_100004976,,,,
Drug_100005002,,,,
Drug_100005073,,,,
Drug_100005078,,,,
Drug_100005090,,,,
Drug_100005095,,,,
Drug_100005152,,,,
Drug_100005358,,,,
Drug_100005401,,,,
Drug_100005452,,,,
Drug_100005454,,,,
Drug_100005487,,,,
Drug_100005524,,,,
Drug_100005533,,,,
Drug_100005566,,,,
Drug_100005595,,,,
Drug_100005650,,,,
Drug_100005656,,,,
Drug_100005771,,,,
Drug_100005775,,,,
Drug_100008230,,,,
Drug_100010100,,,,
Drug_100012453,,,,
Drug_100016362,,,,
Drug_100023897,,,,
Drug_100027400,,,,
Drug_100027991,,,,
Drug_100032281,,,,
Drug_100032800,,,,
Drug_100036523,,,,
Drug_100036811,,,,
Drug_100039860,,,,
Drug_100041693,,,,
Drug_100042955,,,,
Drug_100051263,,,,
Drug_100054313,,,,
Drug_100054373,,,,
Drug_100057537,,,,
Drug_100060146,,,,
Drug_100060612,,,,
Drug_100060795,,,,
Drug_100060853,,,,
Drug_100060878,,,,
Drug_100065014,,,,
Drug_100065999,,,,
Drug_100068613,,,,
Drug_100071348,,,,
Drug_100071360,,,,
Drug_100077998,,,,
Drug_100104849,,,,
Drug_100104865,,,,
Drug_100115237,,,,
Drug_100123597,,,,
Drug_100125017,,,,
Drug_100151171,,,,
Drug_100156326,,,,
Drug_100158781,,,,
Drug_100213046,,,,
Drug_100216237,,,,
Drug_104849,,,,
Drug_104865,,,,
Drug_10531,,,,
Drug_106433117,,,,
Drug_106918313,,,,
Drug_10836,,,,
Drug_109825285,,,,
Drug_110465263,,,,
Drug_115237,,,,
Drug_11658859,,,,
Drug_119569,,,,
Drug_124965990,,,,
Drug_125017,,,,
Drug_129211,,,,
Drug_151171,,,,
Drug_158781,,,,
Drug_16078,,,,
Drug_163091,,,,
Drug_16362,,,,
Drug_1978,,,,
Drug_2083,,,,
Drug_2092,,,,
Drug_213046,,,,
Drug_2159,,,,
Drug_2160,,,,
Drug_216237,,,,
Drug_2170,,,,
Drug_2215,,,,
Drug_2216,,,,
Drug_2239,,,,
Drug_2249,,,,
Drug_2344,,,,
Drug_2352,,,,
Drug_2369,,,,
Drug_23897,,,,
Drug_2435,,,,
Drug_2476,,,,
Drug_2477,,,,
Drug_24965990,,,,
Drug_2520,,,,
Drug_2540,,,,
Drug_2541,,,,
Drug_2585,,,,
Drug_26986,,,,
Drug_2726,,,,
Drug_2729,,,,
Drug_27400,,,,
Drug_2764,,,,
Drug_2769,,,,
Drug_2771,,,,
Drug_2783,,,,
Drug_27991,,,,
Drug_2801,,,,
Drug_2803,,,,
Drug_2818,,,,
Drug_2828,,,,
Drug_28864,,,,
Drug_2913,,,,
Drug_2995,,,,
Drug_3066,,,,
Drug_3083544,,,,
Drug_31100,,,,
Drug_3151,,,,
Drug_3155,,,,
Drug_3157,,,,
Drug_3158,,,,
Drug_3168,,,,
Drug_3340,,,,
Drug_3343,,,,
Drug_3345,,,,
Drug_3372,,,,
Drug_3386,,,,
Drug_3410,,,,
Drug_3519,,,,
Drug_3559,,,,
Drug_36811,,,,
Drug_3689,,,,
Drug_3696,,,,
Drug_3715,,,,
Drug_3749,,,,
Drug_3779,,,,
Drug_3827,,,,
Drug_3869,,,,
Drug_3916,,,,
Drug_3954,,,,
Drug_3961,,,,
Drug_3964,,,,
Drug_3981,,,,
Drug_39860,,,,
Drug_4011,,,,
Drug_4095,,,,
Drug_4140,,,,
Drug_4168,,,,
Drug_41693,,,,
Drug_4171,,,,
Drug_4184,,,,
Drug_4205,,,,
Drug_43008,,,,
Drug_439260,,,,
Drug_439302,,,,
Drug_441277,,,,
Drug_4436,,,,
Drug_443884,,,,
Drug_4449,,,,
Drug_4543,,,,
Drug_4585,,,,
Drug_4631,,,,
Drug_4636,,,,
Drug_4639,,,,
Drug_4736,,,,
Drug_4747,,,,
Drug_4748,,,,
Drug_4768,,,,
Drug_47811,,,,
Drug_4828,,,,
Drug_4830,,,,
Drug_4850,,,,
Drug_4893,,,,
Drug_4917,,,,
Drug_4926,,,,
Drug_4927,,,,
Drug_4946,,,,
Drug_4976,,,,
Drug_5002,,,,
Drug_5073,,,,
Drug_5078,,,,
Drug_5090,,,,
Drug_5095,,,,
Drug_51263,,,,
Drug_5152,,,,
