community_id,size,degree,weighted_degree,clustering_coefficient,density
Community_0,4,0,0.0,0.0,1.0
Community_1,2,0,0.0,0.0,1.0
Community_2,2,0,0.0,0.0,1.0
Community_3,1,0,0.0,0.0,0.0
Community_4,2,0,0.0,0.0,1.0
Community_5,359,0,0.0,0.9034005943585443,0.9998755076951806
Community_6,1,0,0.0,0.0,0.0
Community_7,2,0,0.0,0.0,1.0
Community_8,2,0,0.0,0.0,1.0
Community_9,2,0,0.0,0.0,1.0
Community_10,1,0,0.0,0.0,0.0
Community_11,1,0,0.0,0.0,0.0
Community_12,1,0,0.0,0.0,0.0
Community_13,18,0,0.0,0.0,0.7908496732026143
Community_14,8,0,0.0,0.0,1.0
Community_15,4,0,0.0,0.0,1.0
Community_16,1,0,0.0,0.0,0.0
Community_17,2,0,0.0,0.0,1.0
Community_18,2,0,0.0,0.0,1.0
Community_19,1,0,0.0,0.0,0.0
Community_20,22,0,0.0,0.5925477500486557,0.7922077922077922
Community_21,82,0,0.0,0.6308377769901142,0.7777777777777778
Community_22,83,1,12.990404040404039,0.8509196821777987,0.9130179253599765
Community_23,2,0,0.0,0.0,1.0
Community_24,7,0,0.0,0.0,1.0
Community_25,3,0,0.0,0.0,1.0
Community_26,2,0,0.0,0.0,1.0
Community_27,1,0,0.0,0.0,0.0
Community_28,1,0,0.0,0.0,0.0
Community_29,2,0,0.0,0.0,1.0
Community_30,2,0,0.0,0.0,1.0
Community_31,2,0,0.0,0.0,1.0
Community_32,5,0,0.0,0.0,0.9
Community_33,1,0,0.0,0.0,0.0
Community_34,2,0,0.0,0.0,1.0
Community_35,6,0,0.0,0.0,0.6
Community_36,4,0,0.0,0.0,1.0
Community_37,1,0,0.0,0.0,0.0
Community_38,2,0,0.0,0.0,1.0
Community_39,1,0,0.0,0.0,0.0
Community_40,2,0,0.0,0.0,1.0
Community_41,2,0,0.0,0.0,1.0
Community_42,2,0,0.0,0.0,1.0
Community_43,2,0,0.0,0.0,1.0
Community_44,2,0,0.0,0.0,1.0
Community_45,6,0,0.0,0.0,1.0
Community_46,6,0,0.0,0.0,1.0
Community_47,2,0,0.0,0.0,1.0
Community_48,1,0,0.0,0.0,0.0
Community_49,2,0,0.0,0.0,1.0
Community_50,1,0,0.0,0.0,0.0
Community_51,2,0,0.0,0.0,1.0
Community_52,2,0,0.0,0.0,1.0
Community_53,10,0,0.0,0.0,0.7333333333333333
Community_54,22,0,0.0,0.5739364556126473,0.7445887445887446
Community_55,5,0,0.0,0.0,0.8
Community_56,4,0,0.0,0.0,1.0
Community_57,1,0,0.0,0.0,0.0
Community_58,11,0,0.0,0.0,1.0
Community_59,10,0,0.0,0.0,0.8888888888888888
Community_60,2,0,0.0,0.0,1.0
Community_61,1,0,0.0,0.0,0.0
Community_62,8,0,0.0,0.0,1.0
Community_63,2,0,0.0,0.0,1.0
Community_64,1,0,0.0,0.0,0.0
Community_65,1,0,0.0,0.0,0.0
Community_66,1,0,0.0,0.0,0.0
Community_67,2,0,0.0,0.0,1.0
Community_68,6,0,0.0,0.0,0.7333333333333333
Community_69,2,0,0.0,0.0,1.0
Community_70,4,0,0.0,0.0,1.0
Community_71,2,0,0.0,0.0,1.0
Community_72,2,0,0.0,0.0,1.0
Community_73,3,0,0.0,0.0,1.0
Community_74,2,0,0.0,0.0,1.0
Community_75,2,0,0.0,0.0,1.0
Community_76,1,0,0.0,0.0,0.0
Community_77,5,0,0.0,0.0,1.0
Community_78,32,1,12.990404040404039,0.6530992773078801,0.905241935483871
Community_79,2,0,0.0,0.0,1.0
Community_80,2,0,0.0,0.0,1.0
Community_81,20,0,0.0,0.9644714242553334,1.0
Community_82,2,0,0.0,0.0,1.0
Community_83,2,0,0.0,0.0,1.0
Community_84,1,0,0.0,0.0,0.0
Community_85,1,0,0.0,0.0,0.0
Community_86,4,0,0.0,0.0,1.0
Community_87,1,0,0.0,0.0,0.0
Community_88,8,0,0.0,0.0,0.6428571428571429
Community_89,2,0,0.0,0.0,1.0
Community_90,2,0,0.0,0.0,1.0
Community_91,2,0,0.0,0.0,1.0
Community_92,8,0,0.0,0.0,1.0
Community_93,2,0,0.0,0.0,1.0
Community_94,6,0,0.0,0.0,1.0
Community_95,2,0,0.0,0.0,1.0
Community_96,2,0,0.0,0.0,1.0
Community_97,19,0,0.0,0.0,0.7543859649122807
Community_98,3,0,0.0,0.0,1.0
Community_99,1,0,0.0,0.0,0.0
Community_100,13,0,0.0,0.0,0.34615384615384615
Community_101,2,0,0.0,0.0,1.0
Community_102,1,0,0.0,0.0,0.0
Community_103,4,0,0.0,0.0,1.0
Community_104,2,0,0.0,0.0,1.0
Community_105,2,0,0.0,0.0,1.0
Community_106,1,0,0.0,0.0,0.0
Community_107,2,0,0.0,0.0,1.0
Community_108,4,0,0.0,0.0,1.0
Community_109,13,0,0.0,0.0,1.0
Community_110,2,0,0.0,0.0,1.0
Community_111,5,0,0.0,0.0,1.0
Community_112,6,0,0.0,0.0,0.7333333333333333
Community_113,6,0,0.0,0.0,1.0
Community_114,2,0,0.0,0.0,1.0
Community_115,2,0,0.0,0.0,1.0
Community_116,2,0,0.0,0.0,1.0
Community_117,2,0,0.0,0.0,1.0
Community_118,2,0,0.0,0.0,1.0
Community_119,2,0,0.0,0.0,1.0
Community_120,6,0,0.0,0.0,0.8666666666666667
Community_121,2,0,0.0,0.0,1.0
Community_122,2,0,0.0,0.0,1.0
Community_123,5,0,0.0,0.0,1.0
Community_124,2,0,0.0,0.0,1.0
Community_125,1,0,0.0,0.0,0.0
Community_126,3,0,0.0,0.0,1.0
Community_127,14,0,0.0,0.0,0.6043956043956044
Community_128,2,0,0.0,0.0,1.0
Community_129,2,0,0.0,0.0,1.0
Community_130,1,0,0.0,0.0,0.0
Community_131,1,0,0.0,0.0,0.0
Community_132,1,0,0.0,0.0,0.0
Community_133,2,0,0.0,0.0,1.0
Community_134,3,0,0.0,0.0,0.6666666666666666
Community_135,16,0,0.0,0.0,0.425
Community_136,2,0,0.0,0.0,1.0
Community_137,1,0,0.0,0.0,0.0
Community_138,2,0,0.0,0.0,1.0
Community_139,2,0,0.0,0.0,1.0
Community_140,2,0,0.0,0.0,1.0
