drug_id,in_degree,out_degree,degree_ratio,topological_level
100001993,0,31,31.0,0
100002370,15,6,0.375,3
100002564,15,6,0.375,3
100002684,15,6,0.375,3
100002725,0,0,0.0,0
100002800,0,1,1.0,0
100002905,15,6,0.375,3
100003042,0,0,0.0,0
100003100,0,1,1.0,0
100003219,15,6,0.375,3
100003241,0,31,31.0,0
100003494,32,2,0.06060606060606061,4
100003623,0,31,31.0,0
100003746,15,6,0.375,3
100004034,15,6,0.375,3
100004057,2,0,0.0,6
100004120,32,2,0.06060606060606061,4
100004601,0,0,0.0,0
100004634,0,1,1.0,0
100004746,0,0,0.0,0
100004819,0,31,31.0,0
100004992,0,0,0.0,0
100005184,15,6,0.375,3
100005512,1,31,15.5,2
100005572,15,6,0.375,3
100005593,0,31,31.0,0
100006726,0,0,0.0,0
100010660,0,0,0.0,0
100060830,15,6,0.375,3
100060864,15,6,0.375,3
100072054,15,6,0.375,3
100124087,0,0,0.0,0
100154058,15,6,0.375,3
10660,0,0,0.0,0
111228026,32,2,0.06060606060606061,4
111519069,6,2,0.2857142857142857,5
11519069,6,2,0.2857142857142857,5
124087,0,0,0.0,0
154058,15,6,0.375,3
154417,15,6,0.375,3
1548952,1,0,0.0,1
1993,0,31,31.0,0
21855,15,6,0.375,3
2370,15,6,0.375,3
2381,15,6,0.375,3
2564,15,6,0.375,3
2725,2,3,1.0,1
2905,15,6,0.375,3
3042,0,0,0.0,0
3055,0,6,6.0,0
3100,0,1,1.0,0
3191,0,0,0.0,0
3219,15,6,0.375,3
3241,0,31,31.0,0
33036,0,31,31.0,0
3494,32,2,0.06060606060606061,4
3623,15,6,0.375,3
3661,1,31,15.5,2
3746,15,6,0.375,3
3947,0,0,0.0,0
4034,15,6,0.375,3
4057,2,0,0.0,6
4066,15,6,0.375,3
443878,1,31,15.5,2
444030,15,6,0.375,3
4601,0,0,0.0,0
4615,2,31,10.333333333333334,1
4634,0,1,1.0,0
4746,0,0,0.0,0
4848,0,31,31.0,0
4919,15,6,0.375,3
49800046,32,2,0.06060606060606061,4
4992,0,0,0.0,0
5184,15,6,0.375,3
5281071,15,6,0.375,3
5282593,32,2,0.06060606060606061,4
5572,15,6,0.375,3
5593,0,31,31.0,0
5909,0,31,31.0,0
62865,0,0,0.0,0
6726,0,0,0.0,0
72054,15,6,0.375,3
