node,degree,weighted_degree,clustering_coefficient,betweenness_centrality,closeness_centrality
Gene_5468,2,2.0,0.0,3.3839229819129314e-06,0.04288107202680067
Drug_100039042,15,15.0,0.0,0.0026648393482564337,0.0756724800472953
Drug_124087,15,15.0,0.0,0.031063914316205504,0.1804751914914378
Drug_100004680,15,15.0,0.0,0.029508815646393585,0.15673646478598727
Drug_4601,15,15.0,0.0,0.07907268974483642,0.2107590104718604
Gene_3269,8,8.0,0.0,0.04821835707333693,0.18814721380180252
Drug_100041774,15,15.0,0.0,0.0057484391655245924,0.07753050969131371
Gene_5742,3,3.0,0.0,0.008239248188996934,0.1309080614339302
Gene_147,1,1.0,0.0,0.0,0.13239989119386103
Gene_2595,1,1.0,0.0,0.0,0.042845807987304946
Gene_5746,4,4.0,0.0,2.030353789147759e-05,0.05087939698492462
Gene_3356,10,10.0,0.0,0.024464539065386853,0.17873985311171242
Gene_9446,2,2.0,0.0,3.6256317663352835e-06,0.1269736661449323
Gene_114757,2,2.0,0.0,3.3839229819129314e-06,0.04288107202680067
Gene_279,4,4.0,0.0,0.00021753790598011703,0.05087939698492462
Gene_1135,4,4.0,0.0,0.004487081874016534,0.11225208166436045
Gene_5146,4,4.0,0.0,0.00018087068338324628,0.12873230418018067
Gene_5142,4,4.0,0.0,0.00018087068338324628,0.12873230418018067
Drug_71113,0,0.0,0.0,0.0,0.0
Gene_5138,4,4.0,0.0,0.00018087068338324628,0.12873230418018067
Drug_16132344,15,15.0,0.0,0.0013324196741282168,0.07753050969131371
Gene_3042,2,2.0,0.0,3.3839229819129314e-06,0.04288107202680067
Gene_8824,10,10.0,0.0,0.006699668272442044,0.15594752284914504
Gene_3047,2,2.0,0.0,3.3839229819129314e-06,0.04288107202680067
Drug_100002756,15,15.0,0.0,0.034623459043988385,0.17243919038606761
Gene_283848,10,10.0,0.0,0.006699668272442044,0.15594752284914504
Gene_3050,2,2.0,0.0,3.3839229819129314e-06,0.04288107202680067
Gene_6579,1,1.0,0.0,0.0,0.1080752600210354
Gene_5435,1,1.0,0.0,0.0,0.1080752600210354
Gene_5837,1,1.0,0.0,0.0,0.042845807987304946
Gene_137902,3,3.0,0.0,0.008239248188996934,0.1309080614339302
Gene_3358,7,7.0,0.0,0.003407856209197333,0.16899040657834627
Drug_100000948,0,0.0,0.0,0.0,0.0
Gene_57555,10,10.0,0.0,0.006699668272442044,0.15594752284914504
Drug_105381226,15,15.0,0.0,0.08514796203238414,0.12819961878357303
Gene_5139,2,2.0,0.0,3.3839229819129314e-06,0.12802303528662595
Gene_220002,2,2.0,0.0,3.6256317663352835e-06,0.1269736661449323
Drug_2756,15,15.0,0.0,0.034623459043988385,0.17243919038606761
Gene_1132,6,6.0,0.0,0.002109323404488092,0.16899040657834627
Drug_948,0,0.0,0.0,0.0,0.0
Drug_116156130,15,15.0,0.0,0.0013324196741282168,0.07753050969131371
Gene_222642,2,2.0,0.0,3.3839229819129314e-06,0.1331586298253445
Drug_100004991,12,12.0,0.0,0.00033500837520938014,0.1310926990382094
Gene_5432,1,1.0,0.0,0.0,0.1080752600210354
Gene_7433,4,4.0,0.0,2.030353789147759e-05,0.05087939698492462
Gene_5834,1,1.0,0.0,0.0,0.042845807987304946
Drug_116132344,15,15.0,0.0,0.0013324196741282168,0.07753050969131371
Gene_5140,2,2.0,0.0,3.3839229819129314e-06,0.12802303528662595
Drug_100004032,3,3.0,0.0,3.806913354652048e-05,0.09691837707830077
Gene_7173,3,3.0,0.0,0.008239248188996934,0.1309080614339302
Gene_3039,2,2.0,0.0,3.3839229819129314e-06,0.04288107202680067
Gene_3040,2,2.0,0.0,3.3839229819129314e-06,0.04288107202680067
Drug_100002725,13,13.0,0.0,0.022835287446482326,0.17372845536091672
Gene_1133,6,6.0,0.0,0.002109323404488092,0.16899040657834627
Gene_11128,1,1.0,0.0,0.0,0.1080752600210354
Gene_9340,4,4.0,0.0,2.030353789147759e-05,0.05087939698492462
Gene_151,6,6.0,0.0,0.14550393495109015,0.1815326633165829
Drug_11020241,14,14.0,0.0,0.07074936974434463,0.1551664835026552
Gene_3757,9,9.0,0.0,0.08534341276718405,0.177375426752081
Gene_4025,3,3.0,0.0,0.008239248188996934,0.1309080614339302
Gene_27158,1,1.0,0.0,0.0,0.07850061116392774
Gene_22871,10,10.0,0.0,0.006699668272442044,0.15594752284914504
Gene_11255,2,2.0,0.0,3.3839229819129314e-06,0.13831060062215841
Gene_10599,2,2.0,0.0,0.042992741485203795,0.15039599290953146
Gene_706,2,2.0,0.0,3.3839229819129314e-06,0.1331586298253445
Gene_6520,4,4.0,0.0,0.00021753790598011703,0.05087939698492462
Gene_1131,6,6.0,0.0,0.002109323404488092,0.16899040657834627
Gene_4151,2,2.0,0.0,3.3839229819129314e-06,0.04288107202680067
Gene_9533,1,1.0,0.0,0.0,0.1080752600210354
Drug_4032,3,3.0,0.0,3.806913354652048e-05,0.09691837707830077
