source,target,weight
Gene_117,Drug_116156130,1.0
Gene_117,Drug_16132344,1.0
Gene_117,Drug_116132344,1.0
Gene_117,Drug_16157882,1.0
Gene_2595,Drug_100041774,1.0
Drug_4601,Gene_1128,1.0
Drug_4601,Gene_150,1.0
Drug_4601,Gene_151,1.0
Drug_4601,Gene_1129,1.0
Drug_4601,Gene_1133,1.0
Drug_4601,Gene_1132,1.0
Drug_4601,Gene_1131,1.0
Drug_4601,Gene_3757,1.0
Drug_4601,Gene_1565,1.0
Drug_4601,Gene_3356,1.0
Drug_4601,Gene_6532,1.0
Drug_4601,Gene_3362,1.0
Drug_4601,Gene_6530,1.0
Drug_4601,Gene_3269,1.0
Drug_4601,Gene_3358,1.0
Gene_6532,Drug_100004601,1.0
Gene_6532,Drug_124087,1.0
Gene_6532,Drug_100124087,1.0
Gene_6532,Drug_100002725,1.0
Gene_6532,Drug_3947,1.0
Gene_1066,Drug_100004991,1.0
Gene_1066,Drug_656926,1.0
Gene_1066,Drug_5983,1.0
Gene_1066,Drug_5314,1.0
Gene_1066,Drug_100004913,1.0
Gene_1066,Drug_2712,1.0
Gene_1066,Drug_100004811,1.0
Gene_1066,Drug_100002712,1.0
Gene_1066,Drug_4913,1.0
Gene_1066,Drug_100005314,1.0
Gene_10203,Drug_116156130,1.0
Gene_10203,Drug_16132344,1.0
Gene_10203,Drug_116132344,1.0
Gene_10203,Drug_16157882,1.0
Gene_3274,Drug_124087,1.0
Gene_3274,Drug_100002756,1.0
Gene_3274,Drug_100124087,1.0
Gene_3274,Drug_100002725,1.0
Gene_3274,Drug_2756,1.0
Gene_5435,Drug_105381226,1.0
Gene_10846,Drug_5212,1.0
Gene_10846,Drug_4680,1.0
Gene_10846,Drug_100004680,1.0
Gene_10846,Drug_100005212,1.0
Gene_5138,Drug_5212,1.0
Gene_5138,Drug_4680,1.0
Gene_5138,Drug_100004680,1.0
Gene_5138,Drug_100005212,1.0
Gene_4241,Drug_100000453,1.0
Gene_4241,Drug_100003672,1.0
Gene_4151,Drug_100039042,1.0
Gene_4151,Drug_39042,1.0
Gene_1534,Drug_11020241,1.0
Gene_1534,Drug_111020241,1.0
Gene_4085,Drug_656926,1.0
Gene_58157,Drug_100039042,1.0
Gene_58157,Drug_39042,1.0
Gene_57555,Drug_100004991,1.0
Gene_57555,Drug_656926,1.0
Gene_57555,Drug_5983,1.0
Gene_57555,Drug_5314,1.0
Gene_57555,Drug_100004913,1.0
Gene_57555,Drug_2712,1.0
Gene_57555,Drug_100004811,1.0
Gene_57555,Drug_100002712,1.0
Gene_57555,Drug_4913,1.0
Gene_57555,Drug_100005314,1.0
Gene_222642,Drug_2712,1.0
Gene_222642,Drug_100002712,1.0
Gene_55253,Drug_100000453,1.0
Gene_11255,Drug_100002756,1.0
Gene_11255,Drug_2756,1.0
Gene_4842,Drug_100000453,1.0
Gene_146,Drug_3947,1.0
Gene_6581,Drug_100004913,1.0
Gene_6581,Drug_100002756,1.0
Gene_6581,Drug_2756,1.0
Gene_6581,Drug_4913,1.0
Drug_100002756,Gene_6583,1.0
Drug_100002756,Gene_55244,1.0
Drug_100002756,Gene_6584,1.0
Drug_100002756,Gene_5021,1.0
Drug_100002756,Gene_2842,1.0
Drug_100002756,Gene_3362,1.0
Drug_100002756,Gene_9376,1.0
