node,degree,weighted_degree,clustering_coefficient,betweenness_centrality,closeness_centrality
Drug_119,3,1.8571428571428572,0.5684367439851987,0.0,0.005102657004830917
Drug_187,10,5.284193061840121,0.3996316511524611,0.0002533588139911976,0.01852219282774838
Drug_222,3,1.286593479707252,0.5268413101529688,0.0,0.0020833333333333333
Drug_247,15,13.007856356540243,0.8174524341957355,4.454660465779299e-07,0.010562865497076024
Drug_271,3,1.8067510548523207,0.5459334407524468,0.0,0.0020833333333333333
Drug_311,1,1.0,0.0,0.0,0.0006944444444444445
Drug_312,1,0.9465936323176994,0.0,0.0,0.0006944444444444445
Drug_338,1,1.0,0.0,0.0,0.0006944444444444445
Drug_444,30,19.832246311588683,0.6286462272637544,1.5644333356175032e-05,0.016669973544973547
Drug_564,5,3.341034526529576,0.639455471787073,0.0,0.003633720930232558
Drug_679,1,1.0,0.0,0.0,0.0006944444444444445
Drug_681,358,295.26893503510416,0.8493530769091292,2.1873686895233573e-08,0.24861111111111112
Drug_700,1,1.0,0.0,0.0,0.0006944444444444445
Drug_702,0,0.0,0.0,0.0,0.0
Drug_727,1,1.0,0.0,0.0,0.0006944444444444445
Drug_750,356,189.9861894028573,0.6368527734258782,0.0,0.24722993827160494
Drug_753,3,1.8067510548523207,0.5459334407524468,0.0,0.0020833333333333333
Drug_767,1,1.0,0.0,0.0,0.0006944444444444445
Drug_774,356,215.0940562148826,0.6921605172245786,0.0,0.24722993827160494
Drug_838,358,338.5118791058311,0.9302464116783352,2.1873686895233573e-08,0.24861111111111112
Drug_888,1,1.0,0.0,0.0,0.0006944444444444445
Drug_896,1,1.0,0.0,0.0,0.0006944444444444445
Drug_923,1,1.0,0.0,0.0,0.0006944444444444445
Drug_936,15,11.365663174881027,0.752706306761541,4.454660465779299e-07,0.010562865497076024
Drug_937,3,2.083333333333333,0.6644894249462313,0.0,0.0020833333333333333
Drug_942,16,10.554026342069996,0.480609394817563,0.00014633147161523344,0.019890309343434342
Drug_943,0,0.0,0.0,0.0,0.0
Drug_946,1,0.8888888888888888,0.0,0.0,0.0006944444444444445
Drug_948,1,1.0,0.0,0.0,0.0006944444444444445
Drug_951,358,314.42192662382274,0.8855926579355649,2.1873686895233573e-08,0.24861111111111112
Drug_961,1,0.8157894736842105,0.0,0.0,0.0006944444444444445
Drug_977,15,7.131761863932287,0.44754850303693994,2.8955293027565435e-05,0.010562865497076024
Drug_1032,9,5.6192373021700295,0.6380545284881197,0.0,0.00625
Drug_1046,19,13.91606824548001,0.6470026927844248,1.4707450426699906e-06,0.013315217391304347
Drug_1050,0,0.0,0.0,0.0,0.0
Drug_1051,0,0.0,0.0,0.0,0.0
Drug_1123,0,0.0,0.0,0.0,0.0
Drug_1206,28,21.553700724401356,0.7446097309288859,0.0,0.013946989818503763
Drug_1615,28,19.23403196589809,0.693177128413613,0.0,0.013946989818503763
Drug_1727,15,13.10260444551742,0.8211039913847221,4.454660465779299e-07,0.010562865497076024
Drug_1775,1,1.0,0.0,0.0,0.0006944444444444445
Drug_1978,358,338.5118791058311,0.9302464116783359,2.1873686895233573e-08,0.24861111111111112
Drug_1983,17,9.077244955953397,0.5544700942003412,5.515293910012464e-07,0.01225
Drug_1986,28,24.04367447318486,0.7985927468237745,1.6407999382287087e-06,0.017906746031746034
Drug_1990,1,1.0,0.0,0.0,0.0006944444444444445
Drug_1993,66,43.09377289377289,0.6655927196664981,4.524864053221082e-07,0.04649234693877551
Drug_2083,358,338.5118791058311,0.9302464116783357,2.1873686895233573e-08,0.24861111111111112
Drug_2088,7,6.0,0.8061697987819907,0.0,0.004861111111111111
Drug_2092,358,338.5118791058311,0.9302464116783357,2.1873686895233573e-08,0.24861111111111112
Drug_2094,7,5.333333333333333,0.7045340615681149,0.0,0.004861111111111111
Drug_2099,1,1.0,0.0,0.0,0.0006944444444444445
Drug_2118,3,2.0,0.6299605249474366,0.0,0.0020833333333333333
Drug_2132,0,0.0,0.0,0.0,0.0
Drug_2145,31,24.511670924722324,0.6847914883771383,2.4008784372705806e-05,0.03269927536231884
Drug_2153,1,1.0,0.0,0.0,0.0006944444444444445
Drug_2156,1,1.0,0.0,0.0,0.0006944444444444445
Drug_2159,358,338.5118791058311,0.930246411678335,2.1873686895233573e-08,0.24861111111111112
Drug_2160,358,303.3564449253546,0.8645002213959446,2.1873686895233573e-08,0.24861111111111112
Drug_2162,9,6.068426344896933,0.6532774541845794,0.0,0.010667848699763593
Drug_2170,358,310.0638116864419,0.8772392575897879,2.1873686895233573e-08,0.24861111111111112
Drug_2179,7,3.8,0.5721542599458854,0.0,0.004861111111111111
Drug_2215,358,338.5118791058311,0.9302464116783358,2.1873686895233573e-08,0.24861111111111112
Drug_2216,358,338.5118791058311,0.9302464116783352,2.1873686895233573e-08,0.24861111111111112
Drug_2239,358,338.5118791058311,0.9302464116783357,2.1873686895233573e-08,0.24861111111111112
Drug_2244,19,13.659371021135728,0.6405333613901677,1.4707450426699906e-06,0.013315217391304347
Drug_2249,358,338.5118791058311,0.9302464116783359,2.1873686895233573e-08,0.24861111111111112
Drug_2266,2,1.6666666666666665,0.7631428283688878,0.0,0.001388888888888889
Drug_2267,1,1.0,0.0,0.0,0.0006944444444444445
Drug_2284,1,1.0,0.0,0.0,0.0006944444444444445
Drug_2333,0,0.0,0.0,0.0,0.0
Drug_2344,358,309.13284911401496,0.8754326951131682,2.1873686895233573e-08,0.24861111111111112
Drug_2345,3,1.8235294117647058,0.5534767886336841,0.0,0.007122093023255813
Drug_2352,358,338.5118791058311,0.9302464116783352,2.1873686895233573e-08,0.24861111111111112
Drug_2369,358,338.5118791058311,0.9302464116783359,2.1873686895233573e-08,0.24861111111111112
Drug_2370,73,58.172721722721725,0.7069899529024112,5.083102380002764e-06,0.051193820224719105
Drug_2375,78,72.80534406334554,0.909709623395778,0.0,0.049316939890710385
Drug_2381,73,58.172721722721725,0.7069899529024112,5.083102380002764e-06,0.051193820224719105
Drug_2391,1,1.0,0.0,0.0,0.0006944444444444445
Drug_2405,6,4.0,0.6463636417680292,0.0,0.004166666666666667
Drug_2435,358,338.5118791058311,0.9302464116783357,2.1873686895233573e-08,0.24861111111111112
Drug_2442,4,3.333333333333333,0.8026190236407399,0.0,0.002777777777777778
Drug_2474,2,2.0,1.0,0.0,0.001388888888888889
Drug_2476,358,338.5118791058311,0.9302464116783355,2.1873686895233573e-08,0.24861111111111112
Drug_2477,358,336.5921971424895,0.9267462082022289,2.1873686895233573e-08,0.24861111111111112
Drug_2484,4,3.0,0.7631428283688878,0.0,0.002777777777777778
Drug_2519,1,1.0,0.0,0.0,0.0006944444444444445
Drug_2520,358,293.2621039051439,0.8457924236732297,2.1873686895233573e-08,0.24861111111111112
Drug_2536,0,0.0,0.0,0.0,0.0
Drug_2540,358,334.7019883626421,0.923287124393027,2.1873686895233573e-08,0.24861111111111112
Drug_2541,358,336.57657404031085,0.9267188345753423,2.1873686895233573e-08,0.24861111111111112
Drug_2551,9,5.0093837535014005,0.26506435281135926,0.0005223213136694721,0.017076558265582655
Drug_2564,73,58.172721722721725,0.7069899529024113,5.083102380002764e-06,0.051193820224719105
Drug_2585,358,332.2951613667699,0.919052277102638,2.1873686895233573e-08,0.24861111111111112
Drug_2662,21,11.41532258064516,0.640868320061889,0.0,0.013736681887366818
Drug_2712,22,15.989459815546772,0.7323915287883388,0.0,0.012413810086682426
Drug_2719,0,0.0,0.0,0.0,0.0
Drug_2725,71,43.20149458384752,0.6036645564695591,3.438358258912609e-06,0.050068681318681314
Drug_2726,358,299.2622626524519,0.8572546927497205,2.1873686895233573e-08,0.24861111111111112
Drug_2729,358,331.70843971088595,0.9179519647336382,2.1873686895233573e-08,0.24861111111111112
Drug_2732,28,24.04367447318486,0.7985927468237745,1.6407999382287087e-06,0.017906746031746034
Drug_2733,1,1.0,0.0,0.0,0.0006944444444444445
Drug_2756,1,1.0,0.0,0.0,0.0006944444444444445
Drug_2764,358,336.5015174763538,0.92657940765859,2.1873686895233573e-08,0.24861111111111112
Drug_2769,358,297.05484086136,0.8529110453000585,2.1873686895233573e-08,0.24861111111111112
Drug_2771,358,308.09099939072706,0.8734464707652557,2.1873686895233573e-08,0.24861111111111112
Drug_2783,358,336.5499944206699,0.9266713860781087,2.1873686895233573e-08,0.24861111111111112
Drug_2801,358,279.4832329531009,0.8182135380850446,2.1873686895233573e-08,0.24861111111111112
Drug_2802,9,7.409274935590725,0.7853693023983876,0.0,0.006903594771241829
Drug_2803,358,330.67841034310146,0.9159145972042704,2.1873686895233573e-08,0.24861111111111112
Drug_2812,1,0.9473684210526315,0.0,0.0,0.0006944444444444445
Drug_2818,358,279.6671889049427,0.8185520132599277,2.1873686895233573e-08,0.24861111111111112
Drug_2828,358,336.42093111549406,0.9264227829139872,2.1873686895233573e-08,0.24861111111111112
Drug_2905,73,58.172721722721725,0.7069899529024114,5.083102380002764e-06,0.051193820224719105
Drug_2913,358,296.58313309261496,0.8518695660214501,2.1873686895233573e-08,0.24861111111111112
Drug_2995,358,305.4333521108016,0.868411624218697,2.1873686895233573e-08,0.24861111111111112
Drug_3007,30,22.83811086051823,0.6906412714475818,1.5644333356175032e-05,0.016669973544973547
Drug_3016,3,2.1515151515151514,0.6920855377533291,0.0,0.005102657004830917
Drug_3032,28,18.814683230713353,0.6723660546546486,7.30176954608173e-06,0.032347670250896056
Drug_3038,28,24.04367447318486,0.7985927468237745,1.6407999382287087e-06,0.017906746031746034
Drug_3042,70,38.33343551872964,0.5500990954123864,2.5307832859836012e-05,0.04952445652173913
Drug_3055,70,37.34155844155844,0.5582308332708757,2.9248450611998513e-06,0.04952445652173913
Drug_3059,1,1.0,0.0,0.0,0.0006944444444444445
Drug_3066,358,338.5118791058311,0.9302464116783351,2.1873686895233573e-08,0.24861111111111112
Drug_3100,71,35.849679487179486,0.5104699487758915,2.1096182502513643e-05,0.050068681318681314
Drug_3103,30,20.322492093026714,0.6391120443991865,1.5644333356175032e-05,0.016669973544973547
Drug_3108,1,1.0,0.0,0.0,0.0006944444444444445
Drug_3117,1,1.0,0.0,0.0,0.0006944444444444445
Drug_3151,358,333.7927426166852,0.9217658339523792,2.1873686895233573e-08,0.24861111111111112
Drug_3152,22,12.118987908643081,0.6103703825531196,0.0,0.012413810086682426
Drug_3155,358,309.13284911401496,0.8754326951131682,2.1873686895233573e-08,0.24861111111111112
Drug_3157,358,336.0804382749446,0.9258880808483457,2.1873686895233573e-08,0.24861111111111112
Drug_3158,358,309.13284911401496,0.8754326951131682,2.1873686895233573e-08,0.24861111111111112
Drug_3168,358,333.61929847194375,0.9214269285226473,2.1873686895233573e-08,0.24861111111111112
Drug_3191,11,5.363735562011424,0.397396902302113,2.480867174307144e-06,0.02939516129032258
Drug_3198,2,1.0,0.6299605249474366,0.0,0.001851851851851852
Drug_3202,22,18.76043956043956,0.8101853033039516,0.0,0.012413810086682426
Drug_3219,73,58.172721722721725,0.7069899529024114,5.083102380002764e-06,0.051193820224719105
Drug_3241,68,49.23547563547563,0.6979852349638701,1.5063898736005674e-06,0.0474609375
Drug_3278,4,2.628205128205128,0.5243973106967769,3.217254780840604e-07,0.002777777777777778
Drug_3308,15,10.7,0.557524309106201,9.5138819947715e-06,0.010185185185185184
Drug_3332,0,0.0,0.0,0.0,0.0
Drug_3339,9,6.506678573829209,0.6914118934575677,0.0,0.00625
Drug_3340,358,338.5118791058311,0.9302464116783354,2.1873686895233573e-08,0.24861111111111112
Drug_3342,15,10.7,0.5575243091062009,9.5138819947715e-06,0.010185185185185184
Drug_3343,358,336.5499944206699,0.9266713860781081,2.1873686895233573e-08,0.24861111111111112
Drug_3345,358,335.3682746707191,0.9245376428903074,2.1873686895233573e-08,0.24861111111111112
Drug_3348,1,1.0,0.0,0.0,0.0006944444444444445
Drug_3355,3,1.9,0.5719091905284664,0.0,0.00248015873015873
Drug_3372,358,332.2019154280484,0.9189247987452132,2.1873686895233573e-08,0.24861111111111112
Drug_3373,9,6.873915558126084,0.7551438956007755,0.0,0.006903594771241829
Drug_3380,9,7.409274935590725,0.7853693023983876,0.0,0.006903594771241829
Drug_3385,1,1.0,0.0,0.0,0.0006944444444444445
Drug_3386,358,306.84785314210023,0.8710979472856037,2.1873686895233573e-08,0.24861111111111112
Drug_3394,19,13.91606824548001,0.6470026927844248,1.4707450426699906e-06,0.013315217391304347
Drug_3404,30,23.388041378910945,0.6999113492697534,1.5644333356175032e-05,0.016669973544973547
Drug_3410,358,338.5118791058311,0.9302464116783354,2.1873686895233573e-08,0.24861111111111112
Drug_3414,1,1.0,0.0,0.0,0.0006944444444444445
Drug_3440,28,18.57398190045249,0.6278175733877837,6.032352714076133e-05,0.020891203703703703
Drug_3446,3,2.428571428571429,0.7990635300581405,0.0,0.0020833333333333333
Drug_3447,0,0.0,0.0,0.0,0.0
Drug_3463,12,5.4,0.5428835233189814,0.0,0.009879032258064515
Drug_3488,1,1.0,0.0,0.0,0.0006944444444444445
Drug_3494,69,49.73088023088023,0.667500148496521,2.0805749953330138e-05,0.047960526315789474
Drug_3510,16,10.425622291531564,0.478161989895516,0.00014633147161523344,0.019890309343434342
Drug_3517,7,4.1,0.32102055228290133,1.415592103569866e-05,0.005263157894736842
Drug_3519,358,338.5118791058311,0.9302464116783351,2.1873686895233573e-08,0.24861111111111112
Drug_3520,1,1.0,0.0,0.0,0.0006944444444444445
Drug_3559,358,305.122312799406,0.8683860117004139,2.1873686895233573e-08,0.24861111111111112
Drug_3598,1,1.0,0.0,0.0,0.0006944444444444445
Drug_3623,73,58.172721722721725,0.7069899529024114,5.083102380002764e-06,0.051193820224719105
Drug_3637,1,1.0,0.0,0.0,0.0006944444444444445
Drug_3639,1,1.0,0.0,0.0,0.0006944444444444445
Drug_3661,73,52.80577755577755,0.6649693634271286,5.083102380002764e-06,0.051193820224719105
Drug_3671,0,0.0,0.0,0.0,0.0
Drug_3672,19,12.003521624574256,0.5910239391174642,1.4707450426699906e-06,0.013315217391304347
Drug_3675,1,1.0,0.0,0.0,0.0006944444444444445
Drug_3676,3,2.0,0.6299605249474366,0.0,0.005421146953405018
Drug_3689,358,319.26931435814066,0.8949174687747574,2.1873686895233573e-08,0.24861111111111112
Drug_3696,358,300.8781313606271,0.8597764552442589,2.1873686895233573e-08,0.24861111111111112
Drug_3702,28,24.04367447318486,0.7985927468237746,1.6407999382287087e-06,0.017906746031746034
Drug_3715,358,281.8398828330121,0.8237245945128732,2.1873686895233573e-08,0.24861111111111112
Drug_3746,73,58.172721722721725,0.7069899529024114,5.083102380002764e-06,0.051193820224719105
Drug_3749,358,338.5118791058311,0.9302464116783353,2.1873686895233573e-08,0.24861111111111112
Drug_3767,4,2.5,0.5866403499649577,0.0,0.0034027777777777776
Drug_3779,358,334.59271513943037,0.9230957450534786,2.1873686895233573e-08,0.24861111111111112
Drug_3784,9,6.585757317419722,0.6870274236263838,0.0,0.010667848699763593
Drug_3825,1,1.0,0.0,0.0,0.0006944444444444445
Drug_3826,13,6.766666666666667,0.49250303883833435,2.252078346588423e-06,0.008197831978319784
Drug_3827,358,331.70843971088595,0.917951964733638,2.1873686895233573e-08,0.24861111111111112
Drug_3830,3,2.25,0.7310044345532164,0.0,0.0020833333333333333
Drug_3869,358,335.8590016919005,0.9254726972743824,2.1873686895233573e-08,0.24861111111111112
Drug_3883,2,1.5,0.6299605249474366,0.0,0.0028356481481481483
Drug_3899,1,1.0,0.0,0.0,0.0006944444444444445
Drug_3902,1,1.0,0.0,0.0,0.0006944444444444445
Drug_3916,358,337.5611442436862,0.9285612640195017,2.1873686895233573e-08,0.24861111111111112
Drug_3947,50,22.61450071256573,0.4964766948360634,6.267409287859994e-06,0.039967105263157894
Drug_3954,358,334.1758529351444,0.9224066241397775,2.1873686895233573e-08,0.24861111111111112
Drug_3957,1,1.0,0.0,0.0,0.0006944444444444445
Drug_3961,358,330.89419282342453,0.9163078867454995,2.1873686895233573e-08,0.24861111111111112
Drug_3964,358,323.9367375428358,0.9036156204431633,2.1873686895233573e-08,0.24861111111111112
Drug_3965,15,10.7,0.5575243091062009,9.5138819947715e-06,0.010185185185185184
Drug_3981,358,338.5118791058311,0.9302464116783353,2.1873686895233573e-08,0.24861111111111112
Drug_3998,28,24.04367447318486,0.7985927468237745,1.6407999382287087e-06,0.017906746031746034
Drug_4011,358,327.1117500279421,0.9095361426582755,2.1873686895233573e-08,0.24861111111111112
Drug_4030,3,2.571428571428571,0.8514838849485784,0.0,0.0020833333333333333
Drug_4032,11,5.8228623188405795,0.3604340785342701,0.00028665740097289785,0.018720291146761735
Drug_4034,73,58.172721722721725,0.7069899529024115,5.083102380002764e-06,0.051193820224719105
Drug_4036,9,5.317367535322125,0.610130126847309,0.0,0.00625
Drug_4042,2,1.0,0.6299605249474366,0.0,0.006380208333333333
Drug_4044,11,5.438095238095238,0.34320976445840246,2.7990116593313253e-05,0.010185185185185184
Drug_4051,19,13.91606824548001,0.6470026927844248,1.4707450426699906e-06,0.013315217391304347
Drug_4054,3,2.428571428571429,0.7990635300581405,0.0,0.00248015873015873
Drug_4057,9,4.733333333333333,0.5612384654064734,0.0,0.027282934131736526
Drug_4058,30,18.86491397941754,0.5945560567790779,1.686121266445769e-05,0.016512709643605867
Drug_4066,73,58.172721722721725,0.7069899529024114,5.083102380002764e-06,0.051193820224719105
Drug_4095,358,308.572120473758,0.8746021004263504,2.1873686895233573e-08,0.24861111111111112
Drug_4100,28,24.04367447318486,0.7985927468237745,1.6407999382287087e-06,0.017906746031746034
Drug_4139,1,1.0,0.0,0.0,0.0006944444444444445
Drug_4140,358,338.5118791058311,0.9302464116783358,2.1873686895233573e-08,0.24861111111111112
Drug_4158,28,21.006681424111406,0.7327057018795156,0.0,0.013946989818503763
Drug_4168,358,301.74072333744004,0.8618002695629936,2.1873686895233573e-08,0.24861111111111112
Drug_4171,358,336.92595255661445,0.927362443855704,2.1873686895233573e-08,0.24861111111111112
Drug_4174,18,9.140820837663242,0.5980221160110862,0.0,0.024260752688172044
Drug_4178,5,2.6,0.22586110949043806,5.791058605513088e-06,0.003472222222222222
Drug_4184,358,280.48440247908496,0.820171318813479,2.1873686895233573e-08,0.24861111111111112
Drug_4189,30,21.597446415030642,0.6647601275927945,1.8089035575959085e-05,0.0325812274368231
Drug_4192,1,0.8,0.0,0.0,0.0006944444444444445
Drug_4197,1,1.0,0.0,0.0,0.0006944444444444445
Drug_4205,358,307.98296785238495,0.8732528724890499,2.1873686895233573e-08,0.24861111111111112
Drug_4211,7,4.666666666666666,0.6841411796547726,0.0,0.0051136363636363645
Drug_4212,14,10.457829784125247,0.7157715680657802,0.0,0.009782608695652175
Drug_4235,5,3.8,0.6800184663232869,0.0,0.003472222222222222
Drug_4236,7,5.666666666666666,0.7669917644892357,0.0,0.0051136363636363645
Drug_4409,3,2.0,0.6299605249474366,0.0,0.005421146953405018
Drug_4413,15,13.10260444551742,0.8211039913847221,4.454660465779299e-07,0.010562865497076024
Drug_4418,6,3.1333333333333333,0.5685082194550792,0.0,0.004166666666666667
Drug_4436,358,338.5118791058311,0.9302464116783357,2.1873686895233573e-08,0.24861111111111112
Drug_4440,5,5.0,1.0,0.0,0.003472222222222222
Drug_4449,358,306.23934775461146,0.8699761358010945,2.1873686895233573e-08,0.24861111111111112
Drug_4456,22,18.76043956043956,0.8101853033039516,0.0,0.012413810086682426
Drug_4473,1,1.0,0.0,0.0,0.0006944444444444445
Drug_4485,9,5.431234106425922,0.608405444166126,0.0,0.010667848699763593
Drug_4495,19,13.659371021135728,0.6405333613901675,1.4707450426699906e-06,0.013315217391304347
Drug_4497,1,1.0,0.0,0.0,0.0006944444444444445
